,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Aetna,,,1,,,,1,,,1,,,,,,1,,,,,,,,,
Alcoa,,,,,,,,,1,,,,,,1,1,,1,,,,,,,
American Airlines,1,,,,,,1,,,1,,,,,,,,,,,,1,,,
AT&T,,,,,,1,,,,,,,1,,,,,,,,,,,,
Automatic Data Proc.,,,,,,,,,,,,,,,1,,,,,,,,,,
Calpine,,,,1,,,,,,,,,1,,,,,,,,,,,,
Comcast,1,,1,,,,,,,1,,,,1,,,,,,,,,,,
Cummins Engine,,,,,,,,,,,,,,,,,,,1,1,,,,,
DuPont,,1,,,,,,,,,,,,1,,,,,,,,,,,
Electronic Data Sys.,1,,1,,,,1,,,,,,1,,,,,1,,,1,,,,
Estee Lauder,,,,,,,,,,,,1,,,,,,,,,,1,,,
Ford Motors,,,,,,,,,,,1,,,,,,,,,,,,,,
Halliburton,,,,1,,1,,,,1,,,,,,,1,1,,,,,,,
HCA,,,,,,,1,,1,,,,,,,,,,,,,,,,
Johnson & Johnson,,1,,,1,,,,,,,,,,,1,,1,,,,,,,
Lucent,1,1,,,,,,,,,,,,,1,,,1,,,,1,,,
Lyondell,,,,,,,,,,,,,1,,,,,,1,,,,,,
PepsiCo,,1,,,,,,,,1,,,1,,1,1,,,,,1,,,,
Raytheon,,,,,,,,1,,,,,,,,,1,,,1,,,,,
Schlumberger,,,,,,,,1,,,,,,,,,,,1,,,,1,,
Target,,,,,,,,,,1,,,,,,,,1,,,,,,1,1
Time Warner,,,1,,,,,,,,1,,,,,1,,,,,,,,,
United Technologies,,,,,,,,,,,,,,,,,,,,1,,,,,
Xerox,,,,,,,,,,,,,,,,,,,,,1,,,,
Yum! Brands,,,,,,,,,,,,,,,,,,,,,1,,,,
