"","ego","alter","advice_tie","friendship_tie","reports_to_tie"
"1",1,1,0,0,0
"2",1,2,1,1,1
"3",1,3,0,0,0
"4",1,4,1,1,0
"5",1,5,0,0,0
"6",1,6,0,0,0
"7",1,7,0,0,0
"8",1,8,1,1,0
"9",1,9,0,0,0
"10",1,10,0,0,0
"11",1,11,0,0,0
"12",1,12,0,1,0
"13",1,13,0,0,0
"14",1,14,0,0,0
"15",1,15,0,0,0
"16",1,16,1,1,0
"17",1,17,0,0,0
"18",1,18,1,0,0
"19",1,19,0,0,0
"20",1,20,0,0,0
"21",1,21,1,0,0
"22",2,1,0,1,0
"23",2,2,0,0,0
"24",2,3,0,0,0
"25",2,4,0,0,0
"26",2,5,0,0,0
"27",2,6,1,0,0
"28",2,7,1,0,1
"29",2,8,0,0,0
"30",2,9,0,0,0
"31",2,10,0,0,0
"32",2,11,0,0,0
"33",2,12,0,0,0
"34",2,13,0,0,0
"35",2,14,0,0,0
"36",2,15,0,0,0
"37",2,16,0,0,0
"38",2,17,0,0,0
"39",2,18,0,1,0
"40",2,19,0,0,0
"41",2,20,0,0,0
"42",2,21,1,1,0
"43",3,1,1,0,0
"44",3,2,1,0,0
"45",3,3,0,0,0
"46",3,4,1,0,0
"47",3,5,0,0,0
"48",3,6,1,0,0
"49",3,7,1,0,0
"50",3,8,1,0,0
"51",3,9,1,0,0
"52",3,10,1,0,0
"53",3,11,1,0,0
"54",3,12,1,0,0
"55",3,13,0,0,0
"56",3,14,1,1,1
"57",3,15,0,0,0
"58",3,16,0,0,0
"59",3,17,1,0,0
"60",3,18,1,0,0
"61",3,19,0,1,0
"62",3,20,1,0,0
"63",3,21,1,0,0
"64",4,1,1,1,0
"65",4,2,1,1,1
"66",4,3,0,0,0
"67",4,4,0,0,0
"68",4,5,0,0,0
"69",4,6,1,0,0
"70",4,7,0,0,0
"71",4,8,1,1,0
"72",4,9,0,0,0
"73",4,10,1,0,0
"74",4,11,1,0,0
"75",4,12,1,1,0
"76",4,13,0,0,0
"77",4,14,0,0,0
"78",4,15,0,0,0
"79",4,16,1,1,0
"80",4,17,1,1,0
"81",4,18,1,0,0
"82",4,19,0,0,0
"83",4,20,1,0,0
"84",4,21,1,0,0
"85",5,1,1,0,0
"86",5,2,1,1,0
"87",5,3,0,0,0
"88",5,4,0,0,0
"89",5,5,0,0,0
